id,event,team_h,team_a,team_h_score,team_a_score,finished
1,1,3,16,0,1,true
2,1,5,19,0,1,true
3,1,6,17,1,1,true
4,1,7,8,2,1,true
5,1,10,15,2,1,true
6,1,12,14,1,1,true
7,1,13,18,1,1,true
8,1,1,9,3,4,true
9,1,2,11,1,3,true
10,1,4,20,2,1,true
11,2,11,13,2,0,true
12,2,3,9,2,0,true
13,2,8,1,0,0,true
14,2,14,10,1,4,true
15,2,16,7,0,2,true
16,2,17,5,1,0,true
17,2,18,4,1,2,true
18,2,19,6,1,2,true
19,2,15,12,1,2,true
20,2,20,2,1,0,true
21,3,4,3,3,0,true
22,3,5,2,1,1,true
23,3,6,14,1,0,true
24,3,7,11,0,1,true
25,3,8,16,2,1,true
26,3,13,15,1,1,true
27,3,17,9,1,1,true
28,3,18,1,1,3,true
29,3,10,20,3,1,true
30,3,19,12,0,0,true
31,4,1,13,2,1,true
32,4,2,19,1,0,true
33,4,3,7,1,1,true
34,4,9,8,4,1,true
35,4,11,10,1,2,true
36,4,12,5,1,2,true
37,4,14,17,0,4,true
38,4,20,18,2,4,true
39,4,16,4,2,2,true
40,4,15,6,0,3,true
41,5,4,9,1,2,true
42,5,6,12,3,1,true
43,5,7,1,1,4,true
44,5,8,3,3,0,true
45,5,10,2,4,0,true
46,5,19,20,4,2,true
47,5,5,14,4,1,true
48,5,13,16,1,0,true
49,5,17,15,1,0,true
50,5,18,11,3,1,true
51,6,1,4,3,0,true
52,6,2,6,1,0,true
53,6,9,7,5,1,true
54,6,11,8,4,1,true
55,6,12,17,1,2,true
56,6,14,19,1,1,true
57,6,15,5,2,3,true
58,6,16,10,1,3,true
59,6,20,13,0,3,true
60,6,3,18,2,0,true
61,7,3,1,0,1,true
62,7,6,5,1,1,true
63,7,7,4,0,2,true
64,7,8,13,0,0,true
65,7,11,14,1,1,true
66,7,15,19,1,1,true
67,7,16,9,1,2,true
68,7,17,10,2,0,true
69,7,18,2,2,2,true
70,7,20,12,1,1,true
71,8,1,16,3,2,true
72,8,2,7,6,1,true
73,8,4,8,3,0,true
74,8,5,20,0,1,true
75,8,9,11,0,0,true
76,8,10,6,1,1,true
77,8,12,18,0,1,true
78,8,13,3,3,1,true
79,8,14,15,2,0,true
80,8,19,17,1,1,true
81,9,1,12,0,0,true
82,9,2,17,0,0,true
83,9,3,6,2,1,true
84,9,4,11,4,0,true
85,9,7,14,0,2,true
86,9,8,5,3,1,true
87,9,9,19,2,1,true
88,9,10,13,1,1,true
89,9,16,18,0,0,true
90,9,20,15,1,0,true
91,10,5,9,2,4,true
92,10,6,20,2,0,true
93,10,11,3,0,0,true
94,10,12,2,2,0,true
95,10,13,4,0,2,true
96,10,14,16,3,1,true
97,10,15,1,1,4,true
98,10,17,8,1,1,true
99,10,18,7,1,0,true
100,10,19,10,0,4,true
101,11,1,17,1,1,true
102,11,2,15,1,2,true
103,11,3,5,3,2,true
104,11,4,6,5,0,true
105,11,7,13,2,1,true
106,11,8,19,1,2,true
107,11,9,18,6,1,true
108,11,10,12,1,1,true
109,11,16,11,1,3,true
110,11,20,14,1,1,true
111,12,5,10,1,2,true
112,12,6,16,1,1,true
113,12,11,1,1,1,true
114,12,12,4,0,1,true
115,12,13,9,0,0,true
116,12,14,2,0,1,true
117,12,15,7,3,0,true
118,12,17,20,3,2,true
119,12,18,8,2,1,true
120,12,19,3,4,0,true
121,13,1,2,3,1,true
122,13,3,10,1,2,true
123,13,4,17,2,1,true
124,13,7,19,1,1,true
125,13,8,12,2,2,true
126,13,9,15,2,0,true
127,13,11,20,1,1,true
128,13,13,6,1,0,true
129,13,16,5,5,4,true
130,13,18,14,0,1,true
131,14,2,9,4,3,true
132,14,5,13,3,0,true
133,14,6,11,1,1,true
134,14,10,4,1,3,true
135,14,12,7,1,0,true
136,14,14,3,2,0,true
137,14,15,8,2,1,true
138,14,17,16,5,0,true
139,14,19,18,3,1,true
140,14,20,1,1,5,true
141,15,1,14,3,1,true
142,15,3,2,3,2,true
143,15,4,19,1,0,true
144,15,7,5,3,3,true
145,15,8,10,4,2,true
146,15,9,20,2,2,true
147,15,16,15,3,0,true
148,15,18,6,3,2,true
149,15,11,17,1,0,true
150,15,13,12,1,0,true
151,16,2,8,1,0,true
152,16,15,4,0,1,true
153,16,19,16,3,1,true
154,16,20,3,1,0,true
155,16,5,11,1,2,true
156,16,6,1,2,1,true
157,16,10,18,2,0,true
158,16,12,9,0,3,true
159,16,14,13,0,0,true
160,16,17,7,3,0,true
161,17,2,13,1,3,true
162,17,5,4,0,1,true
163,17,6,9,0,1,true
164,17,10,1,2,1,true
165,17,12,16,3,0,true
166,17,14,8,2,2,true
167,17,15,18,1,0,true
168,17,17,3,2,1,true
169,17,19,11,0,2,true
170,17,20,7,1,0,true
171,18,1,19,1,0,true
172,18,3,12,1,0,true
173,18,4,2,3,0,true
174,18,7,10,0,3,true
175,18,8,6,0,2,true
176,18,9,14,4,1,true
177,18,11,15,3,1,true
178,18,13,17,1,4,true
179,18,16,20,1,4,true
180,18,18,5,1,1,true
181,19,1,5,2,0,true
182,19,3,15,4,1,true
183,19,4,14,4,2,true
184,19,7,6,2,2,true
185,19,8,20,1,0,true
186,19,9,10,1,0,true
187,19,11,12,2,1,true
188,19,13,19,1,2,true
189,19,16,2,0,3,true
190,19,18,17,1,4,true
191,20,2,1,3,3,true
192,20,5,16,1,2,true
193,20,6,13,3,0,true
194,20,10,3,2,1,true
195,20,12,8,0,0,true
196,20,14,18,2,0,true
197,20,15,9,2,2,true
198,20,17,4,2,0,true
199,20,19,7,3,1,true
200,20,20,11,0,2,true
201,21,3,13,1,0,true
202,21,6,10,4,0,true
203,21,7,2,3,1,true
204,21,8,4,0,3,true
205,21,11,9,1,1,true
206,21,15,14,1,3,true
207,21,16,1,0,4,true
208,21,17,19,4,0,true
209,21,18,12,0,0,true
210,21,20,5,3,0,true
211,22,1,3,2,1,true
212,22,2,18,2,2,true
213,22,4,7,2,0,true
214,22,5,6,0,1,true
215,22,9,16,2,3,true
216,22,10,17,2,2,true
217,22,12,20,1,3,true
218,22,13,8,3,0,true
219,22,14,11,1,1,true
220,22,19,15,2,0,true
221,23,1,18,1,2,true
222,23,2,5,0,2,true
223,23,3,8,1,0,true
224,23,12,19,1,1,true
225,23,15,17,0,0,true
226,23,16,13,2,1,true
227,23,20,10,0,4,true
228,23,9,4,1,1,true
229,23,11,7,0,0,true
230,23,14,6,1,1,true
231,24,4,1,3,1,true
232,24,5,15,0,4,true
233,24,6,2,6,3,true
234,24,7,9,2,0,true
235,24,8,11,0,3,true
236,24,10,16,2,1,true
237,24,13,20,1,3,true
238,24,17,12,1,0,true
239,24,18,3,2,1,true
240,24,19,14,1,0,true
241,25,1,7,2,0,true
242,25,2,10,0,2,true
243,25,3,4,1,1,true
244,25,9,17,2,0,true
245,25,11,18,2,0,true
246,25,12,6,0,0,true
247,25,14,5,1,0,true
248,25,15,13,0,4,true
249,25,16,8,2,0,true
250,25,20,19,2,2,true
251,26,4,16,3,1,true
252,26,5,12,1,0,true
253,26,6,15,2,0,true
254,26,7,3,1,1,true
255,26,8,9,3,1,true
256,34,10,11,0,0,true
257,36,13,1,0,2,true
258,26,17,14,4,0,true
259,26,18,20,1,1,true
260,26,19,2,2,1,true
261,27,8,7,3,1,true
262,27,9,1,3,1,true
263,27,11,2,1,1,true
264,27,14,12,2,0,true
265,27,15,10,0,2,true
266,27,16,3,3,2,true
267,27,17,6,3,2,true
268,27,18,13,3,4,true
269,27,19,5,0,2,true
270,27,20,4,1,2,true
271,34,1,8,1,0,true
272,28,2,20,3,2,true
273,37,4,18,4,3,true
274,34,5,17,0,1,true
275,28,6,19,3,0,true
276,28,7,16,2,1,true
277,27,10,14,0,0,true
278,34,12,15,1,0,true
279,37,13,11,0,0,true
280,28,9,3,2,1,true
281,29,2,16,2,0,true
282,29,5,18,1,0,true
283,29,6,7,4,0,true
284,29,10,9,1,1,true
285,29,12,11,1,3,true
286,29,14,4,1,2,true
287,29,15,3,0,0,true
288,29,17,13,2,1,true
289,29,19,1,3,1,true
290,29,20,8,2,3,true
291,30,1,10,2,2,true
292,30,3,17,0,2,true
293,30,4,5,1,2,true
294,30,7,20,2,1,true
295,30,8,14,2,0,true
296,30,9,6,3,1,true
297,30,11,19,0,0,true
298,30,13,2,0,0,true
299,30,16,12,0,0,true
300,30,18,15,1,0,true
301,31,1,20,3,0,true
302,31,3,14,1,0,true
303,31,7,12,4,2,true
304,31,8,15,2,0,true
305,31,11,6,1,1,true
306,31,16,17,1,3,true
307,31,18,19,2,0,true
308,31,4,10,2,1,true
309,31,9,2,2,2,true
310,31,13,5,3,1,true
311,32,2,4,1,3,true
312,32,5,1,3,0,true
313,32,6,8,4,2,true
314,32,10,7,3,1,true
315,32,12,3,0,0,true
316,32,14,9,1,2,true
317,32,15,11,0,3,true
318,32,17,18,4,0,true
319,32,19,13,0,1,true
320,32,20,16,1,0,true
321,33,5,8,2,2,true
322,33,6,3,3,1,true
323,33,11,4,2,0,true
324,33,12,1,1,2,true
325,33,13,10,0,3,true
326,33,14,7,3,1,true
327,33,15,20,2,2,true
328,33,17,2,4,0,true
329,33,18,16,1,0,true
330,33,19,9,0,1,true
331,37,1,15,2,0,true
332,34,2,12,4,0,true
333,34,3,11,0,2,true
334,34,4,13,4,2,true
335,34,7,18,2,0,true
336,37,8,17,1,6,true
337,34,9,5,1,2,true
338,37,10,19,3,1,true
339,34,16,14,2,0,true
340,34,20,6,0,0,true
341,35,5,3,0,2,true
342,35,6,4,0,3,true
343,35,11,16,1,1,true
344,35,12,10,2,2,true
345,35,13,7,0,0,true
346,35,14,20,0,0,true
347,35,15,2,0,1,true
348,35,17,1,2,0,true
349,35,18,9,0,1,true
350,35,19,8,0,1,true
351,36,1,11,2,0,true
352,36,2,14,2,2,true
353,36,3,19,2,2,true
354,36,4,12,3,0,true
355,36,7,15,0,2,true
356,36,8,18,3,0,true
357,36,9,13,0,0,true
358,36,10,5,5,0,true
359,36,16,6,1,0,true
360,36,20,17,1,0,true
361,37,2,3,2,1,true
362,37,5,7,4,0,true
363,37,6,18,1,0,true
364,37,10,8,2,1,true
365,37,12,13,1,2,true
366,37,14,1,1,4,true
367,37,15,16,0,2,true
368,37,17,11,2,1,true
369,37,19,4,0,1,true
370,37,20,9,0,4,true
371,38,1,6,3,1,true
372,38,3,20,1,2,true
373,38,4,15,5,1,true
374,38,7,17,1,7,true
375,38,8,2,1,1,true
376,38,9,12,3,0,true
377,38,11,5,2,0,true
378,38,13,14,0,1,true
379,38,16,19,2,1,true
380,38,18,10,0,5,true
